name,rating,type_of,price,comments
"Eco Defense USDA Biobased Pest Control Spray - Ant, Roach, Spider, Bug Killer and Repellent - Natural Indoor & Outdoor Repellent Spray - Child & Pet Friendly",4.0714,"Pest Bait, Traps & Killers",35,This product worked good at killing pests and was helpful for getting rid of them while I'm living in the house.  I didn't have to worry about any chemicals.  PROBLEM - BOTTLE WAS NOT FULL AND I USED IT UP IN DAYS...TOO SMALL FOR CONTROLLING PESTS SO HIGHLY DISAPPOINTED!!!
"Spider-Man Titan Hero Figure 6-Pack, Available Only At Walmart",4.9512,Action Figure Sets,49.99,
Onslaught FastCap Spider and Scorpion Insecticide MGK Insecticide Concentrates,3,"Pest Bait, Traps & Killers",68.95,
"Marvel Spiderman Slap Bracelet Party Favors, 4 Count",4.5833,Party Favors,1.48,
"Spiderman Birthday Plastic Party Tablecloth, 84 x 54in",4.75,Tablecloths,2.97,
Itsy Bitsy Spider (Board Book),4.375,Books,6.37,
LEGO Marvel Spidey And His Amazing Friends Miles Morales: Spider-Man’s Techno Trike 10781 Building Kit; Miles Morales Set Makes a Fun Gift Idea for Kids Aged 4+ Who Love Super-Hero Play (59 Pieces),4.8333,Interlocking Block Building Sets,7.99,
"Spiderman Birthday Party Favors for 8 Guests, 48pcs",4.0625,Party Favors,8.97,"For someone who was trying to do a small celebration on a budget, I wish I hadn't wasted money on this. The glasses didn't fit or stay on my children. We don't do tattoos and the only thing that we liked is the stickers."
"Raid Max Spider & Scorpion Killer, 12 oz",4.494,"Pest Bait, Traps & Killers",9.34,"Unused product. I bought the wrong brand to take care of the spiders that will hatch out this spring in Minnesota. Will be returning Raid Spider Killer to local store customers service. I am 88 yrs old, asthmatic,"
Marvel Spider-Man Titan Hero Series Spider-Man 12-inch-Scale Super Hero Action Figure,4.413,Action Figures,8.44,My box was torn upon arrival I was highly disappointed due to this being one of my son Christmas gifts I will never order from here again!!! I did a video and sent it to my mom but it won't allow me to upload the video here !!
Spider-Man: Into the Spider-Verse (DVD),4.7297,Movies,9.9,My dvd did not arrive with a slip cover like it was shown in the picture on the website.
Spider-Man Triple Feature (DVD),4.8621,Movies,9.96,Doesnt come with digital copies of all 3 movies. I will be returning these once I get them. Be clear on your advertising.  this made me so mad.
Spider-Man: Far From Home (DVD),4.7179,Movies,12.96,bad movie toooooo long.  disappointing
"Spider-Man Men's Miles Morales Sleep Pants, Size S-2XL",5,Pajamas,14.48,
Spider-Man: Far From Home (Blu-Ray + DVD),4.8254,Movies,14.96,
"Spider-Man Kids Bedding Plush Cuddle and Decorative Pillow Buddy, 100% Polyester, Red, Marvel",4.7478,Decorative Pillows,14.98,"This was a Christmas present for my 5 y.o. because he had been asking for it. When I purchased it felt very sturdy. Now, less than 3 months later, after not much roughplay (he mostly sleeps with it and sometimes plays with it) the seams have come undone exposing stuffing. We've had plenty of stuff animals that have had more roughplay with for years that have not come apart at the seams. I expected this to last longer, but my son does still sleep with it."
"Child Officially Licensed Boys Marvel Classic Spiderman Halloween Costume Medium, Red and Blue",2.7273,Fancy-Dress Costumes,15,Would give zero stars if I could!! Should have believed the reviews - the 5 star reviews MUST be fake!! The costume received is NOTHING like the picture. Very thin material. Separate pants and top. See through. Mask is too small. No muscles. VERY DISAPPOINTED!
"Marvel Spider-Man Spiderbolt Armor Gear Set, Spiderbolt NERF Blaster, Role Play Mask",4.375,Blasters & Foam Play,19.99,"item damaged
darts have broken tipped"
"Spiderman Boys Short Sleeve Shirt and Shorts, 2-Piece Pajama Set, Sizes 4-12",4.4286,Pajamas,28.96,
LEGO Marvel Spidey And His Amazing Friends Hulk vs. Rhino Truck Showdown 10782 Building Kit; Playset Comes with 2 LEGO Spider-Man Vehicles; Birthday Gift for Kids Aged 4+ (110 Pieces),5,Interlocking Block Building Sets,17.81,
LEGO Super Heroes Spider-Man’s Drone Duel 76195 Building Kit (198 Pieces),4.5862,Interlocking Block Building Sets,17.99,A Lego spider man drone is a poor substitute for a Marvel advent calendar. That's like ordering white socks and you replace it for white shoes. The only comparison is they go on your feet. The same thing goes for my order. My daughter is now very disappointed for not having an advent calendar tomorrow.
LEGO Marvel Spider-Man & Green Goblin Mech Battle 76219 Building Kit (296 Pieces),4.6957,Interlocking Block Building Sets,19.99,
"Spiderman Pinata, Pull String, 18 x 15in",3.7234,Pinatas,19.99,"The piñata was completely busted, and it is cheaply made! I'm so mad because I bought this for my son's 4th birthday party and now I have to figure something out last minute. Even if it did not come in busted, I still feel like it is not worth the money I spent on it. Don't waste your coins!"
"Spiderman Boys Short Sleeve Top and Pants, 2-Piece Pajama Set, Sizes 4-10",5,Pajamas,19.99,
LEGO Marvel Spider-Man: Spider-Man & Doctor Octopus Mech Battle 76198 Building Toy (305 Pieces),4.6538,Interlocking Block Building Sets,20,
Heroes of Goo Jit Zu Marvel Spider-Man vs Venom Action Figure,3.2273,Action Figures,22.5,After 1 full day the paint is peeling off the toy and looks worn. My child is not rough on toys at all. We are very disappointed.
Marvel Legends Series Upgraded Suit Spider-Man Scale Action Figure,4.4425,Action Figures,34,neck joint broke off after 2 head swaps. worst marvel legend made. my son has a ton of marvel legends and swaps parts off since they come w extra parts. waiting on their customer service to get back to me with what i can do since it was a christmas gift and we threw out the original box.
"Hasbro Marvel Spider-Man Action Armor Set Role Play Toy, Mask, 2 Gauntlets, 6 Web Blasts",4.1765,Action Figures,20.48,"DO NOT BUY-DOES NOT WORK- The helmet is the only thing that is ok. Other than that, it does not work. The web shooters do not shoot properly. We bought it thinking maybe it wld work bc the silly putty web shooter doesnt work. But nope. The same. Just made cheaply w cheap parts. So we sent them back. So now u know. Dont buy it or yll be sending it back. Ok love u guys."
LEGO Marvel Spider-Man Figure 76226 Building Kit,4.8889,Interlocking Block Building Sets,24.97,
"Marvel Spidey and His Amazing Friends Web Squad Figure Collection, 5 Action Figures",4.619,Action Figures,24.97,Drove 45 minutes to find out that this item was not on the shelf even though the store showed 4 available. I had two store employees search for it and they couldn't find it.
Spider-Man: No Way Home (4K Ultra HD + Blu-ray),5,Movies,25.49,
"Spider-Man Classic Exclusive Boys Hooded Union Suit Pajama, Sizes 4-12",4.3333,Pajamas,34,
"Marvel Spider-Man Web Gear Spider-Man Action Figure, Spider Legs, Web Blasters, and More",4.8333,Action Figures,29.84,
LEGO Spider-Man at Doc Ocks Lab 10783 Building Set (131 Pieces),5,Interlocking Block Building Sets,24.99,
LEGO Spider-Man Headquarters 10940 Building Set (36 Pieces),4.8889,Interlocking Block Building Sets,23.99,
Spider-Man: No Way Home (4K Ultra HD + Blu-ray + Digital Copy) (Steelbook),,Movies,34.23,
Marvel's Spider-Man: Game of the Year Edition - PlayStation 4,4.578,Video Games,28.99,"The order was shipped and delivered within a day HOWEVER the package was delivered wrapped in a Walmart plastic bag with sticker! This is absolutely unacceptable. This was a gift and wasn't properly packaged, someone could've easily identify the gift and taken it! Also the picture that was emailed to me was NOT visible."
LEGO Spider-Man at the Sanctum Workshop 76185 Building Set (355 Pieces),4.5926,Interlocking Block Building Sets,39.97,"While I appreciate the details of the workshop, this build is incredibly flimsy both in the process of building as well as the final build. My son stopped early on from frustration with the angled pieces (he's built plenty of advanced & expert sets) and this build for me was almost as frustrating as the Domo. There needs to be more foundation and reinforcement in the angled parts. It certainly was not worth the money. And yes, I checked all parts to makes sure they are fully attached. It's just a poor design. Love the details which salvaged a star."
LEGO Marvel Spidey And His Amazing Friends Spider-Man Webquarters Hangout 10784 Building Kit for Ages 4+ (155 Pieces),4.2,Interlocking Block Building Sets,40.99,
"Marvel Spider-Man Web Chompin' Spider-Rex Action Figure, Sounds and Dino Blast Action",4.3571,Action Figures,46.97,"[This review was collected as part of a promotion.] My kids love dinosaurs and a spiderman dinosaur was even better. They loved it. Unfortunately, the button to shoot the pieces out is next to impossible to push as a small child, my wife and I even had a hard time pushing it down so the kids were pretty disappointed they couldnt get it."
"Spider-Man Titan Hero Figure 6-Pack, Available Only At Walmart",4.9512,Action Figure Sets,49.99,
LEGO Marvel Spider-Man Attack on the Spider Lair 76175 Collectible Building Toy (466 Pieces),4.4545,Interlocking Block Building Sets,79.97,The packaging was beaten up and the bag was tapped to the box. This is a gift and it looks like it went through a washer. Can't give this to anyone. How do I get a refund??
"LEGO Marvel Spider-Man Daily Bugle 76178 Building Kit; Collectible Playset Designed with Adult Marvel Fans in Mind (3,772 Pieces)",4.5625,Interlocking Block Building Sets,349.95,"Waiting to receive item, and completely disappointed for how much money I spent  only top receive an item missing pieces and some of our stickers were damaged."
"Tomcat Glue Boards with Enhanced Stickiness, 4 Glue Boards",4.1514,"Pest Bait, Traps & Killers",2.93,"I purchased 6 packets of these ""enhanced sticky"" traps and laid them around my garage.  For further enticement, I put a small tub of peanut butter on it.  Please see the picture of what I found in the morning.  The peanut butter tub was almost empty and there was a lot of poop all over the trap.  What a waste of money!  And yes, I did take off the plastic covering to expose what was suppose to be sticky.  What a waste of money."
"Spiderman Paper Party Masks, 8ct",5,Party Favors,3.27,
"Catchmaster Heavy Duty Baited Rat Glue Traps, 2 Count",4.2069,"Pest Bait, Traps & Killers",3.43,Glue on this trap is not as strong as other brands.  Disappointed.  Using it outside .
"Spiderman Hanging Decorations, 12ct",3,Decoration,4.26,
"Eliminator Ant, Flea & Tick Killer Plus Granules, 10lb",4.0804,"Pest Bait, Traps & Killers",6.48,"I bought it because I was expecting it to kill fleas. I bought it online so I couldn't fully read the back. When I got ut and was trying to figure out how to use it for fleas, there were no directions for how to use it for fleas. Actually fleas weren't even in the list of bugs it kills!"
"Spidey and Friends Toddler Boy Pajama Set, 2-Piece, Sizes 2T-5T",5,Pajamas,8,
"Spiderman Boys Long Sleeve Top and Pants, 2-Piece Pajama Set, Sizes 4-12",1,Pajamas,10.98,
"Glow in the Dark Stretch Spider Web Halloween Decoration by Fun World, 165 sq ft",3,Decoration,3.88,
"Spiderman Boys Long Sleeve Pajama Set, 2-Piece, Sizes 4-12",4.1333,Pajamas,24.25,it  was the wrong size  i ordered a size 8 not 4-5
Spider-Man: Homecoming (4K Ultra HD + Blu-ray),4.4545,Movies,14.99,
"Spiderman and His Amazing Friends Boys Tops and Pants, 4-Piece Cotton Pajama Set, Sizes 12M-5T",1,Pajamas,15.76,
"Spiderman Baby and Toddler Boy Pajamas, 4-Piece, Sizes 12M-5T",4,Pajamas,15.98,I ordered a 5t and it fits more of a 2t. Definitely size up 2 sizes.
"Spider-Man Boys Character Union Suit, Sizes 4-16",3,Fancy-Dress Costumes,15.98,
"Spiderman Baby and Toddler Boy Pajamas, 4-Piece, Sizes 12M-5T",4,Pajamas,15.98,
LEGO Super Heroes Spider-Man vs. Mysterio’s Drone Attack 76184 Building Set (73 Pieces),4.3704,Interlocking Block Building Sets,16.99,Mysterio Wasn't in no way home he was in far from home
Spider-Man: No Way Home (Walmart Exclusive)(Blu-Ray + DVD) Exclusive Slip Cover Art,,Movies,18.59,
The Amazing Spider-Man: 2-Movie Collection (Limited Edition Collection) (Blu-ray),3.75,Movies,18.99,
